"sub_region_1","Mean_retail_and_recreation_percent_change_from_baseline","Mean_grocery_and_pharmacy_percent_change_from_baseline","Mean_parks_percent_change_from_baseline","Mean_transit_stations_percent_change_from_baseline","Mean_workplaces_percent_change_from_baseline","Mean_residential_percent_change_from_baseline","retail_mean","grocery_mean","parks_mean","transit_mean","workplace_mean","residential_mean","SD_retail_and_recreation_percent_change_from_baseline","SD_grocery_and_pharmacy_percent_change_from_baseline","SD_parks_percent_change_from_baseline","SD_transit_stations_percent_change_from_baseline","SD_workplaces_percent_change_from_baseline","SD_residential_percent_change_from_baseline","retail_sd","grocery_sd","parks_sd","transit_sd","workplace_sd","residential_sd"
"Alabama",-11.8222222222222,-4.12222222222222,-7,-10.4111111111111,-20.7666666666667,6.87777777777778,"HIGH","HIGH","AVG","HIGH","HIGH","LOW",9.53477111286797,6.72380941013131,20.5076034131931,11.1696764907881,9.63729879633747,4.17275211039208,"AVG","AVG","LOW","AVG","AVG","AVG"
"Alaska",-11.6333333333333,-6.53333333333333,4.04444444444444,-25.1111111111111,-21.4,8.3,"HIGH","AVG","AVG","AVG","HIGH","AVG",8.44340045455355,5.36781921696953,12.0866823461746,8.43806842538982,8.44253543044872,3.36355216193646,"AVG","LOW","LOW","AVG","LOW","LOW"
"Arizona",-16.1666666666667,-10.8888888888889,-18.5888888888889,-20.9222222222222,-29.3888888888889,9.23333333333333,"AVG","AVG","LOW","AVG","AVG","AVG",6.79267616173495,4.64091342337324,11.4772803853394,8.51862174031438,11.1089542226125,3.50617432923212,"LOW","LOW","LOW","AVG","AVG","LOW"
"Arkansas",-10.4333333333333,-4.61111111111111,12.6,-6.81111111111111,-22.9333333333333,7.55555555555556,"HIGH","HIGH","HIGH","HIGH","AVG","AVG",16.7117330780476,11.4653306860432,37.0219491531865,15.4329972217305,15.0226794839138,6.61647774709307,"HIGH","HIGH","HIGH","HIGH","HIGH","HIGH"
"California",-29.4111111111111,-14.4777777777778,-19.4666666666667,-46.4333333333333,-35.5444444444444,12.4333333333333,"LOW","LOW","LOW","LOW","LOW","HIGH",6.26725831934892,4.28540186721684,12.3535920264131,6.07453701939498,11.5468377996331,4.105490979137,"LOW","LOW","LOW","LOW","AVG","AVG"
"Colorado",-23.3222222222222,-10.0555555555556,-14.5444444444444,-37.2666666666667,-29.9888888888889,10.7888888888889,"LOW","AVG","LOW","AVG","LOW","AVG",9.73679200772759,8.86776907342402,20.8268199556046,9.20893557269365,12.3174257164251,4.0070007401217,"AVG","HIGH","AVG","AVG","HIGH","AVG"
"Connecticut",-21.1444444444444,-13.4333333333333,-6.18888888888889,-36.7222222222222,-27.7555555555556,11.1,"AVG","LOW","AVG","AVG","AVG","HIGH",10.7865512509855,9.32201694913713,32.5185839501407,8.315448973775,12.1260339404973,4.80647970879013,"AVG","HIGH","HIGH","LOW","AVG","HIGH"
"Delaware",-16.8441558441558,-9.90909090909091,-14.1688311688312,-40.4675324675325,-30.6233766233766,10.8831168831169,"AVG","AVG","LOW","LOW","LOW","HIGH",11.2320792177735,8.69842971034642,26.8129007625074,9.87898409381783,9.79801129262969,4.2051785930346,"AVG","AVG","AVG","AVG","AVG","AVG"
"District of Columbia",-54.4666666666667,-27.3222222222222,-44.2555555555556,-69.9444444444444,-50.4888888888889,17.4888888888889,"LOW","LOW","LOW","LOW","LOW","HIGH",6.27139036248356,7.9631564203387,21.3465578158814,5.49230536543772,15.7880942516782,6.37629818365182,"LOW","AVG","AVG","LOW","HIGH","HIGH"
"Florida",-16.5888888888889,-9.71111111111111,-18.5666666666667,-31.6555555555556,-25.4222222222222,7.06666666666667,"AVG","AVG","LOW","AVG","AVG","LOW",5.87490271388624,4.76938844793448,11.2260231384769,6.79583664866261,7.47426713220404,2.67657335857253,"LOW","LOW","LOW","LOW","LOW","LOW"
