"sub_region_1","retail_and_recreation_percent_change_from_baseline_2021-01","retail_and_recreation_percent_change_from_baseline_2021-02","retail_and_recreation_percent_change_from_baseline_2021-03","grocery_and_pharmacy_percent_change_from_baseline_2021-01","grocery_and_pharmacy_percent_change_from_baseline_2021-02","grocery_and_pharmacy_percent_change_from_baseline_2021-03","parks_percent_change_from_baseline_2021-01","parks_percent_change_from_baseline_2021-02","parks_percent_change_from_baseline_2021-03","transit_stations_percent_change_from_baseline_2021-01","transit_stations_percent_change_from_baseline_2021-02","transit_stations_percent_change_from_baseline_2021-03","workplaces_percent_change_from_baseline_2021-01","workplaces_percent_change_from_baseline_2021-02","workplaces_percent_change_from_baseline_2021-03","residential_percent_change_from_baseline_2021-01","residential_percent_change_from_baseline_2021-02","residential_percent_change_from_baseline_2021-03","JF_change_retail","FM_change_retail","retail_pattern","JF_change_grocery","FM_change_grocery","grocery_pattern","JF_change_parks","FM_change_parks","parks_pattern","JF_change_transit","FM_change_transit","transit_pattern","JF_change_workplace","FM_change_workplace","workplaces_pattern","JF_change_residential","FM_change_residential","residential_pattern"
"Alabama",-17.4193548387097,-15.7857142857143,-2.64516129032258,-8.54838709677419,-5.17857142857143,1.25806451612903,-15.5161290322581,-15.4642857142857,9.16129032258065,-16.4516129032258,-15.75,0.451612903225806,-22.741935483871,-20.8214285714286,-18.741935483871,8.35483870967742,7.82142857142857,4.54838709677419,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Alaska",-18.1935483870968,-14.1428571428571,-2.80645161290323,-10.5161290322581,-7.53571428571429,-1.64516129032258,-0.903225806451613,0.892857142857143,11.8387096774194,-31.258064516129,-28.1071428571429,-16.258064516129,-23.3225806451613,-20.6428571428571,-20.1612903225806,9.80645161290323,8.42857142857143,6.67741935483871,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Arizona",-22.5161290322581,-17.1428571428571,-8.93548387096774,-15,-10.8571428571429,-6.80645161290323,-28.3548387096774,-17.5,-9.80645161290323,-29.0967741935484,-21.8571428571429,-11.9032258064516,-31.7741935483871,-28.1071428571429,-28.1612903225806,11.2903225806452,8.96428571428571,7.41935483870968,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Arkansas",-15.1612903225806,-22,4.74193548387097,-8,-10.0714285714286,3.70967741935484,-0.193548387096774,-16.25,51.4516129032258,-11.3225806451613,-17.1071428571429,7,-21.8387096774194,-28.8571428571429,-18.6774193548387,8,11.6785714285714,3.38709677419355,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"California",-35.9354838709677,-29.2142857142857,-23.0645161290323,-18.258064516129,-14.0714285714286,-11.0645161290323,-26.9354838709677,-18.1428571428571,-13.1935483870968,-51.3225806451613,-46.2857142857143,-41.6774193548387,-38.3225806451613,-34.5,-33.7096774193548,14.6774193548387,12.0357142857143,10.5483870967742,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Colorado",-27.7096774193548,-24.5,-17.8709677419355,-13.1935483870968,-10.3214285714286,-6.67741935483871,-17.6451612903226,-22.7857142857143,-4,-41.7741935483871,-39.2142857142857,-31,-30.0645161290323,-28.6785714285714,-31.0967741935484,11.9032258064516,10.8571428571429,9.61290322580645,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Connecticut",-25.3225806451613,-26.3928571428571,-12.2258064516129,-15.258064516129,-16.3928571428571,-8.93548387096774,-12,-25.3571428571429,16.9354838709677,-39.7741935483871,-41.6428571428571,-29.2258064516129,-29.1935483870968,-29.7142857142857,-24.5483870967742,12.1290322580645,12.6071428571429,8.70967741935484,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Delaware",-22.0384615384615,-23,-6.37037037037037,-12.3846153846154,-14.5,-3.44444444444444,-22.9230769230769,-30.5416666666667,8.81481481481481,-45.8461538461538,-44.5833333333333,-31.6296296296296,-32,-32.625,-27.5185185185185,12.0384615384615,12.4583333333333,8.37037037037037,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"District of Columbia",-58.1935483870968,-56.7142857142857,-48.7096774193548,-30.2258064516129,-28.9642857142857,-22.9354838709677,-47.5806451612903,-55,-31.2258064516129,-71.7096774193548,-71.3571428571429,-66.9032258064516,-51.3548387096774,-51.6428571428571,-48.5806451612903,18.6129032258065,18.8214285714286,15.1612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Florida",-21.8064516129032,-17.8571428571429,-10.2258064516129,-13.9032258064516,-10.2142857142857,-5.06451612903226,-26.1935483870968,-20.5714285714286,-9.12903225806452,-37.3225806451613,-33.4642857142857,-24.3548387096774,-27,-24.3571428571429,-24.8064516129032,8.35483870967742,7.14285714285714,5.70967741935484,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Georgia",-20.3548387096774,-17.1071428571429,-7,-11.5161290322581,-8.5,-2.7741935483871,-16.9677419354839,-11.5714285714286,19.8064516129032,-34.1612903225806,-31.5714285714286,-21,-28.3225806451613,-25.0714285714286,-24.1935483870968,10.3225806451613,8.57142857142857,6.2258064516129,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Hawaii",-36.4193548387097,-32.5357142857143,-26.3225806451613,-24.4193548387097,-20.1428571428571,-15.4193548387097,-43.9032258064516,-40,-36.8387096774194,-57.2903225806452,-53.6785714285714,-46.6129032258064,-33.1612903225806,-31.4285714285714,-30.8064516129032,12.1612903225806,10.9285714285714,10.1612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
