"date","state","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","abb"
2021-01-12,"Alabama",1.45,0.15,"AL"
2021-01-13,"Alabama",1.53,0.19,"AL"
2021-01-14,"Alabama",1.64,NA,"AL"
2021-01-15,"Alabama",1.77,0.28,"AL"
2021-01-16,"Alabama",NA,NA,"AL"
2021-01-17,"Alabama",NA,NA,"AL"
2021-01-18,"Alabama",NA,NA,"AL"
2021-01-19,"Alabama",2.33,0.33,"AL"
2021-01-20,"Alabama",2.47,0.37,"AL"
2021-01-21,"Alabama",2.95,0.44,"AL"
2021-01-22,"Alabama",3.56,0.51,"AL"
2021-01-23,"Alabama",3.96,0.56,"AL"
2021-01-24,"Alabama",4.36,0.61,"AL"
2021-01-25,"Alabama",4.5,0.61,"AL"
2021-01-26,"Alabama",4.57,0.63,"AL"
2021-01-27,"Alabama",4.74,0.69,"AL"
2021-01-28,"Alabama",4.92,0.76,"AL"
2021-01-29,"Alabama",5.23,0.9,"AL"
2021-01-30,"Alabama",5.88,1.1,"AL"
2021-01-31,"Alabama",6.08,1.13,"AL"
2021-02-01,"Alabama",6.15,1.15,"AL"
2021-02-02,"Alabama",6.38,1.2,"AL"
2021-02-03,"Alabama",6.63,1.28,"AL"
2021-02-04,"Alabama",6.91,1.41,"AL"
2021-02-05,"Alabama",7.21,1.56,"AL"
2021-02-06,"Alabama",7.55,1.72,"AL"
2021-02-07,"Alabama",7.66,1.76,"AL"
2021-02-08,"Alabama",7.72,1.8,"AL"
2021-02-09,"Alabama",8.06,1.94,"AL"
2021-02-10,"Alabama",8.41,2.09,"AL"
2021-02-11,"Alabama",8.8,2.26,"AL"
2021-02-12,"Alabama",9.14,2.49,"AL"
2021-02-13,"Alabama",9.53,2.71,"AL"
2021-02-14,"Alabama",9.67,2.79,"AL"
2021-02-15,"Alabama",NA,NA,"AL"
2021-02-16,"Alabama",9.92,3.04,"AL"
2021-02-17,"Alabama",10.08,3.15,"AL"
2021-02-18,"Alabama",10.31,3.37,"AL"
2021-02-19,"Alabama",11.12,3.92,"AL"
2021-02-20,"Alabama",11.44,4.37,"AL"
2021-02-21,"Alabama",11.57,4.48,"AL"
2021-02-22,"Alabama",11.91,4.65,"AL"
2021-02-23,"Alabama",12.11,4.88,"AL"
2021-02-24,"Alabama",12.33,5.17,"AL"
2021-02-25,"Alabama",12.54,5.48,"AL"
2021-02-26,"Alabama",12.79,5.83,"AL"
2021-02-27,"Alabama",13.12,6.28,"AL"
2021-02-28,"Alabama",13.25,6.39,"AL"
2021-03-01,"Alabama",13.32,6.45,"AL"
2021-03-02,"Alabama",13.53,6.73,"AL"
2021-03-03,"Alabama",13.76,7.07,"AL"
2021-03-04,"Alabama",14.05,7.45,"AL"
2021-03-05,"Alabama",14.36,7.81,"AL"
2021-03-06,"Alabama",14.71,8.2,"AL"
2021-03-07,"Alabama",14.84,8.3,"AL"
2021-03-08,"Alabama",14.95,8.36,"AL"
2021-03-09,"Alabama",15.24,8.57,"AL"
2021-03-10,"Alabama",15.67,8.87,"AL"
2021-03-11,"Alabama",16.13,9.23,"AL"
2021-03-12,"Alabama",16.65,9.63,"AL"
2021-03-13,"Alabama",17.16,10.05,"AL"
2021-03-14,"Alabama",17.32,10.15,"AL"
2021-03-15,"Alabama",17.42,10.22,"AL"
2021-03-16,"Alabama",17.77,10.44,"AL"
2021-03-17,"Alabama",18.23,10.68,"AL"
2021-03-18,"Alabama",18.61,10.88,"AL"
2021-03-19,"Alabama",19.12,11.16,"AL"
2021-03-20,"Alabama",19.59,11.45,"AL"
2021-03-21,"Alabama",19.75,11.56,"AL"
