state,vacc_date,effective_date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,cumuluative_new_case_7_per100000,cumuluative_new_death_7_per100000,Mean_retail_and_recreation_percent_change_from_baseline,Mean_grocery_and_pharmacy_percent_change_from_baseline,Mean_parks_percent_change_from_baseline,Mean_transit_stations_percent_change_from_baseline,Mean_workplaces_percent_change_from_baseline,Mean_residential_percent_change_from_baseline,retail_mean,grocery_mean,parks_mean,transit_mean,workplace_mean,residential_mean,SD_retail_and_recreation_percent_change_from_baseline,SD_grocery_and_pharmacy_percent_change_from_baseline,SD_parks_percent_change_from_baseline,SD_transit_stations_percent_change_from_baseline,SD_workplaces_percent_change_from_baseline,SD_residential_percent_change_from_baseline,retail_sd,grocery_sd,parks_sd,transit_sd,workplace_sd,residential_sd,retail_and_recreation_percent_change_from_baseline_2021-01,retail_and_recreation_percent_change_from_baseline_2021-02,retail_and_recreation_percent_change_from_baseline_2021-03,grocery_and_pharmacy_percent_change_from_baseline_2021-01,grocery_and_pharmacy_percent_change_from_baseline_2021-02,grocery_and_pharmacy_percent_change_from_baseline_2021-03,parks_percent_change_from_baseline_2021-01,parks_percent_change_from_baseline_2021-02,parks_percent_change_from_baseline_2021-03,transit_stations_percent_change_from_baseline_2021-01,transit_stations_percent_change_from_baseline_2021-02,transit_stations_percent_change_from_baseline_2021-03,workplaces_percent_change_from_baseline_2021-01,workplaces_percent_change_from_baseline_2021-02,workplaces_percent_change_from_baseline_2021-03,residential_percent_change_from_baseline_2021-01,residential_percent_change_from_baseline_2021-02,residential_percent_change_from_baseline_2021-03,JF_change_retail,FM_change_retail,retail_pattern,JF_change_grocery,FM_change_grocery,grocery_pattern,JF_change_parks,FM_change_parks,parks_pattern,JF_change_transit,FM_change_transit,transit_pattern,JF_change_workplace,FM_change_workplace,workplaces_pattern,JF_change_residential,FM_change_residential,residential_pattern,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Statewide Face Mask Requirement,Emergency Declaration,Density
Alabama,3/10/2021,3/31/2021,15.67,8.87,56.03553117,1.402458195,-11.82222222,-4.122222222,-7,-10.41111111,-20.76666667,6.877777778,HIGH,HIGH,AVG,HIGH,HIGH,LOW,9.534771113,6.72380941,20.50760341,11.16967649,9.637298796,4.17275211,AVG,AVG,LOW,AVG,AVG,AVG,-17.41935484,-15.78571429,-2.64516129,-8.548387097,-5.178571429,1.258064516,-15.51612903,-15.46428571,9.161290323,-16.4516129,-15.75,0.451612903,-22.74193548,-20.82142857,-18.74193548,8.35483871,7.821428571,4.548387097,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,Yes,Yes,97.427
Alaska,3/10/2021,3/31/2021,25.74,16.28,133.5885108,0.140619485,-11.63333333,-6.533333333,4.044444444,-25.11111111,-21.4,8.3,HIGH,AVG,AVG,AVG,HIGH,AVG,8.443400455,5.367819217,12.08668235,8.438068425,8.44253543,3.363552162,AVG,LOW,LOW,AVG,LOW,LOW,-18.19354839,-14.14285714,-2.806451613,-10.51612903,-7.535714286,-1.64516129,-0.903225806,0.892857143,11.83870968,-31.25806452,-28.10714286,-16.25806452,-23.32258065,-20.64285714,-20.16129032,9.806451613,8.428571429,6.677419355,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,No,1.2694
Arizona,3/10/2021,3/31/2021,20.12,10.54,61.80023363,1.949780213,-16.16666667,-10.88888889,-18.58888889,-20.92222222,-29.38888889,9.233333333,AVG,AVG,LOW,AVG,AVG,AVG,6.792676162,4.640913423,11.47728039,8.51862174,11.10895422,3.506174329,LOW,LOW,LOW,AVG,AVG,LOW,-22.51612903,-17.14285714,-8.935483871,-15,-10.85714286,-6.806451613,-28.35483871,-17.5,-9.806451613,-29.09677419,-21.85714286,-11.90322581,-31.77419355,-28.10714286,-28.16129032,11.29032258,8.964285714,7.419354839,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Dec,Inc Dec,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,66.2016
Arkansas,3/10/2021,3/31/2021,17.02,9.45,41.86708691,2.263085779,-10.43333333,-4.611111111,12.6,-6.811111111,-22.93333333,7.555555556,HIGH,HIGH,HIGH,HIGH,AVG,AVG,16.71173308,11.46533069,37.02194915,15.43299722,15.02267948,6.616477747,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,-15.16129032,-22,4.741935484,-8,-10.07142857,3.709677419,-0.193548387,-16.25,51.4516129,-11.32258065,-17.10714286,7,-21.83870968,-28.85714286,-18.67741935,8,11.67857143,3.387096774,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,58.3059
California,3/10/2021,3/31/2021,18.97,8.82,46.53708869,2.90957273,-29.41111111,-14.47777778,-19.46666667,-46.43333333,-35.54444444,12.43333333,LOW,LOW,LOW,LOW,LOW,HIGH,6.267258319,4.285401867,12.35359203,6.074537019,11.5468378,4.105490979,LOW,LOW,LOW,LOW,AVG,AVG,-35.93548387,-29.21428571,-23.06451613,-18.25806452,-14.07142857,-11.06451613,-26.93548387,-18.14285714,-13.19354839,-51.32258065,-46.28571429,-41.67741935,-38.32258065,-34.5,-33.70967742,14.67741935,12.03571429,10.5483871,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,Some Non-Essential Businesses Open with Limits,>25 Prohibited,Open with Service Limits,Closed,Yes,Yes,254.2929
Colorado,3/10/2021,3/31/2021,18.92,10.58,169.765012,0.594901339,-23.32222222,-10.05555556,-14.54444444,-37.26666667,-29.98888889,10.78888889,LOW,AVG,LOW,AVG,LOW,AVG,9.736792008,8.867769073,20.82681996,9.208935573,12.31742572,4.00700074,AVG,HIGH,AVG,AVG,HIGH,AVG,-27.70967742,-24.5,-17.87096774,-13.19354839,-10.32142857,-6.677419355,-17.64516129,-22.78571429,-4,-41.77419355,-39.21428571,-31,-30.06451613,-28.67857143,-31.09677419,11.90322581,10.85714286,9.612903226,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Inc,Dec,Inc Dec,Dec,Dec,Dec Dec,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,No Limit,Open with Service Limits,Open with Service Limits,Yes,Yes,56.8653
Connecticut,3/10/2021,3/31/2021,25.82,9.94,248.1934868,0.951790949,-21.14444444,-13.43333333,-6.188888889,-36.72222222,-27.75555556,11.1,AVG,LOW,AVG,AVG,AVG,HIGH,10.78655125,9.322016949,32.51858395,8.315448974,12.12603394,4.806479709,AVG,HIGH,HIGH,LOW,AVG,HIGH,-25.32258065,-26.39285714,-12.22580645,-15.25806452,-16.39285714,-8.935483871,-12,-25.35714286,16.93548387,-39.77419355,-41.64285714,-29.22580645,-29.19354839,-29.71428571,-24.5483871,12.12903226,12.60714286,8.709677419,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Closed,Yes,Yes,733.7505
Delaware,3/10/2021,3/31/2021,17.92,10.66,220.3012673,2.666278575,-16.84415584,-9.909090909,-14.16883117,-40.46753247,-30.62337662,10.88311688,AVG,AVG,LOW,LOW,LOW,HIGH,11.23207922,8.69842971,26.81290076,9.878984094,9.798011293,4.205178593,AVG,AVG,AVG,AVG,AVG,AVG,-22.03846154,-23,-6.37037037,-12.38461538,-14.5,-3.444444444,-22.92307692,-30.54166667,8.814814815,-45.84615385,-44.58333333,-31.62962963,-32,-32.625,-27.51851852,12.03846154,12.45833333,8.37037037,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes,508.1242
District of Columbia,3/10/2021,3/31/2021,14.92,7.76,151.5454166,1.815903684,-54.46666667,-27.32222222,-44.25555556,-69.94444444,-50.48888889,17.48888889,LOW,LOW,LOW,LOW,LOW,HIGH,6.271390362,7.96315642,21.34655782,5.492305365,15.78809425,6.376298184,LOW,AVG,AVG,LOW,HIGH,HIGH,-58.19354839,-56.71428571,-48.70967742,-30.22580645,-28.96428571,-22.93548387,-47.58064516,-55,-31.22580645,-71.70967742,-71.35714286,-66.90322581,-51.35483871,-51.64285714,-48.58064516,18.61290323,18.82142857,15.16129032,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Inc,Inc Inc,Dec,Inc,Dec Inc,Inc,Dec,Inc Dec,Easing Restrictions,Lifted,From Certain States,Some Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Closed,Yes,Yes,11682
Florida,3/10/2021,3/31/2021,17.85,9.83,186.52749,3.04472,-16.58888889,-9.711111111,-18.56666667,-31.65555556,-25.42222222,7.066666667,AVG,AVG,LOW,AVG,AVG,LOW,5.874902714,4.769388448,11.22602314,6.795836649,7.474267132,2.676573359,LOW,LOW,LOW,LOW,LOW,LOW,-21.80645161,-17.85714286,-10.22580645,-13.90322581,-10.21428571,-5.064516129,-26.19354839,-20.57142857,-9.129032258,-37.32258065,-33.46428571,-24.35483871,-27,-24.35714286,-24.80645161,8.35483871,7.142857143,5.709677419,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Inc,Inc Inc,Inc,Dec,Inc Dec,Dec,Dec,Dec Dec,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes,409.2233
