"state","vacc_date","effective_date","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","cumuluative_new_case_7_per100000","cumuluative_new_death_7_per100000","Mean_retail_and_recreation_percent_change_from_baseline","Mean_grocery_and_pharmacy_percent_change_from_baseline","Mean_parks_percent_change_from_baseline","Mean_transit_stations_percent_change_from_baseline","Mean_workplaces_percent_change_from_baseline","Mean_residential_percent_change_from_baseline","retail_mean","grocery_mean","parks_mean","transit_mean","workplace_mean","residential_mean","SD_retail_and_recreation_percent_change_from_baseline","SD_grocery_and_pharmacy_percent_change_from_baseline","SD_parks_percent_change_from_baseline","SD_transit_stations_percent_change_from_baseline","SD_workplaces_percent_change_from_baseline","SD_residential_percent_change_from_baseline","retail_sd","grocery_sd","parks_sd","transit_sd","workplace_sd","residential_sd","retail_and_recreation_percent_change_from_baseline_2021.01","retail_and_recreation_percent_change_from_baseline_2021.02","retail_and_recreation_percent_change_from_baseline_2021.03","grocery_and_pharmacy_percent_change_from_baseline_2021.01","grocery_and_pharmacy_percent_change_from_baseline_2021.02","grocery_and_pharmacy_percent_change_from_baseline_2021.03","parks_percent_change_from_baseline_2021.01","parks_percent_change_from_baseline_2021.02","parks_percent_change_from_baseline_2021.03","transit_stations_percent_change_from_baseline_2021.01","transit_stations_percent_change_from_baseline_2021.02","transit_stations_percent_change_from_baseline_2021.03","workplaces_percent_change_from_baseline_2021.01","workplaces_percent_change_from_baseline_2021.02","workplaces_percent_change_from_baseline_2021.03","residential_percent_change_from_baseline_2021.01","residential_percent_change_from_baseline_2021.02","residential_percent_change_from_baseline_2021.03","JF_change_retail","FM_change_retail","retail_pattern","JF_change_grocery","FM_change_grocery","grocery_pattern","JF_change_parks","FM_change_parks","parks_pattern","JF_change_transit","FM_change_transit","transit_pattern","JF_change_workplace","FM_change_workplace","workplaces_pattern","JF_change_residential","FM_change_residential","residential_pattern"
"Alabama",2021-03-17,2021-03-31,18.23,10.68,56.0355311737152,1.40245819523307,-11.8222222222222,-4.12222222222222,-7,-10.4111111111111,-20.7666666666667,6.87777777777778,"HIGH","HIGH","AVG","HIGH","HIGH","LOW",9.53477111286797,6.72380941013131,20.5076034131931,11.1696764907881,9.63729879633747,4.17275211039208,"AVG","AVG","LOW","AVG","AVG","AVG",-17.4193548387097,-15.7857142857143,-2.64516129032258,-8.54838709677419,-5.17857142857143,1.25806451612903,-15.5161290322581,-15.4642857142857,9.16129032258065,-16.4516129032258,-15.75,0.451612903225806,-22.741935483871,-20.8214285714286,-18.741935483871,8.35483870967742,7.82142857142857,4.54838709677419,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Alaska",2021-03-17,2021-03-31,28.83,18.56,133.588510825591,0.14061948507957,-11.6333333333333,-6.53333333333333,4.04444444444444,-25.1111111111111,-21.4,8.3,"HIGH","AVG","AVG","AVG","HIGH","AVG",8.44340045455355,5.36781921696953,12.0866823461746,8.43806842538982,8.44253543044872,3.36355216193646,"AVG","LOW","LOW","AVG","LOW","LOW",-18.1935483870968,-14.1428571428571,-2.80645161290323,-10.5161290322581,-7.53571428571429,-1.64516129032258,-0.903225806451613,0.892857142857143,11.8387096774194,-31.258064516129,-28.1071428571429,-16.258064516129,-23.3225806451613,-20.6428571428571,-20.1612903225806,9.80645161290323,8.42857142857143,6.67741935483871,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Arizona",2021-03-17,2021-03-31,23.11,13.13,61.8002336304642,1.94978021297527,-16.1666666666667,-10.8888888888889,-18.5888888888889,-20.9222222222222,-29.3888888888889,9.23333333333333,"AVG","AVG","LOW","AVG","AVG","AVG",6.79267616173495,4.64091342337324,11.4772803853394,8.51862174031438,11.1089542226125,3.50617432923212,"LOW","LOW","LOW","AVG","AVG","LOW",-22.5161290322581,-17.1428571428571,-8.93548387096774,-15,-10.8571428571429,-6.80645161290323,-28.3548387096774,-17.5,-9.80645161290323,-29.0967741935484,-21.8571428571429,-11.9032258064516,-31.7741935483871,-28.1071428571429,-28.1612903225806,11.2903225806452,8.96428571428571,7.41935483870968,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Arkansas",2021-03-17,2021-03-31,19.95,10.58,41.867086914838,2.26308577918043,-10.4333333333333,-4.61111111111111,12.6,-6.81111111111111,-22.9333333333333,7.55555555555556,"HIGH","HIGH","HIGH","HIGH","AVG","AVG",16.7117330780476,11.4653306860432,37.0219491531865,15.4329972217305,15.0226794839138,6.61647774709307,"HIGH","HIGH","HIGH","HIGH","HIGH","HIGH",-15.1612903225806,-22,4.74193548387097,-8,-10.0714285714286,3.70967741935484,-0.193548387096774,-16.25,51.4516129032258,-11.3225806451613,-17.1071428571429,7,-21.8387096774194,-28.8571428571429,-18.6774193548387,8,11.6785714285714,3.38709677419355,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"California",2021-03-17,2021-03-31,22.39,11,46.5370886933146,2.90957273004834,-29.4111111111111,-14.4777777777778,-19.4666666666667,-46.4333333333333,-35.5444444444444,12.4333333333333,"LOW","LOW","LOW","LOW","LOW","HIGH",6.26725831934892,4.28540186721684,12.3535920264131,6.07453701939498,11.5468377996331,4.105490979137,"LOW","LOW","LOW","LOW","AVG","AVG",-35.9354838709677,-29.2142857142857,-23.0645161290323,-18.258064516129,-14.0714285714286,-11.0645161290323,-26.9354838709677,-18.1428571428571,-13.1935483870968,-51.3225806451613,-46.2857142857143,-41.6774193548387,-38.3225806451613,-34.5,-33.7096774193548,14.6774193548387,12.0357142857143,10.5483870967742,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Colorado",2021-03-17,2021-03-31,21.92,12.97,169.765011988253,0.594901338587502,-23.3222222222222,-10.0555555555556,-14.5444444444444,-37.2666666666667,-29.9888888888889,10.7888888888889,"LOW","AVG","LOW","AVG","LOW","AVG",9.73679200772759,8.86776907342402,20.8268199556046,9.20893557269365,12.3174257164251,4.0070007401217,"AVG","HIGH","AVG","AVG","HIGH","AVG",-27.7096774193548,-24.5,-17.8709677419355,-13.1935483870968,-10.3214285714286,-6.67741935483871,-17.6451612903226,-22.7857142857143,-4,-41.7741935483871,-39.2142857142857,-31,-30.0645161290323,-28.6785714285714,-31.0967741935484,11.9032258064516,10.8571428571429,9.61290322580645,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
"Connecticut",2021-03-17,2021-03-31,27.41,14.82,248.193486782563,0.951790948636042,-21.1444444444444,-13.4333333333333,-6.18888888888889,-36.7222222222222,-27.7555555555556,11.1,"AVG","LOW","AVG","AVG","AVG","HIGH",10.7865512509855,9.32201694913713,32.5185839501407,8.315448973775,12.1260339404973,4.80647970879013,"AVG","HIGH","HIGH","LOW","AVG","HIGH",-25.3225806451613,-26.3928571428571,-12.2258064516129,-15.258064516129,-16.3928571428571,-8.93548387096774,-12,-25.3571428571429,16.9354838709677,-39.7741935483871,-41.6428571428571,-29.2258064516129,-29.1935483870968,-29.7142857142857,-24.5483870967742,12.1290322580645,12.6071428571429,8.70967741935484,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Delaware",2021-03-17,2021-03-31,22.44,12.79,220.301267259988,2.66627857500742,-16.8441558441558,-9.90909090909091,-14.1688311688312,-40.4675324675325,-30.6233766233766,10.8831168831169,"AVG","AVG","LOW","LOW","LOW","HIGH",11.2320792177735,8.69842971034642,26.8129007625074,9.87898409381783,9.79801129262969,4.2051785930346,"AVG","AVG","AVG","AVG","AVG","AVG",-22.0384615384615,-23,-6.37037037037037,-12.3846153846154,-14.5,-3.44444444444444,-22.9230769230769,-30.5416666666667,8.81481481481481,-45.8461538461538,-44.5833333333333,-31.6296296296296,-32,-32.625,-27.5185185185185,12.0384615384615,12.4583333333333,8.37037037037037,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"District of Columbia",2021-03-17,2021-03-31,18.93,9.75,151.545416576559,1.81590368446858,-54.4666666666667,-27.3222222222222,-44.2555555555556,-69.9444444444444,-50.4888888888889,17.4888888888889,"LOW","LOW","LOW","LOW","LOW","HIGH",6.27139036248356,7.9631564203387,21.3465578158814,5.49230536543772,15.7880942516782,6.37629818365182,"LOW","AVG","AVG","LOW","HIGH","HIGH",-58.1935483870968,-56.7142857142857,-48.7096774193548,-30.2258064516129,-28.9642857142857,-22.9354838709677,-47.5806451612903,-55,-31.2258064516129,-71.7096774193548,-71.3571428571429,-66.9032258064516,-51.3548387096774,-51.6428571428571,-48.5806451612903,18.6129032258065,18.8214285714286,15.1612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Florida",2021-03-17,2021-03-31,21.07,11.93,186.527489956131,3.04472000013556,-16.5888888888889,-9.71111111111111,-18.5666666666667,-31.6555555555556,-25.4222222222222,7.06666666666667,"AVG","AVG","LOW","AVG","AVG","LOW",5.87490271388624,4.76938844793448,11.2260231384769,6.79583664866261,7.47426713220404,2.67657335857253,"LOW","LOW","LOW","LOW","LOW","LOW",-21.8064516129032,-17.8571428571429,-10.2258064516129,-13.9032258064516,-10.2142857142857,-5.06451612903226,-26.1935483870968,-20.5714285714286,-9.12903225806452,-37.3225806451613,-33.4642857142857,-24.3548387096774,-27,-24.3571428571429,-24.8064516129032,8.35483870967742,7.14285714285714,5.70967741935484,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Dec","Inc Dec","Dec","Dec","Dec Dec"
